,alpha,cg26
149,-98.72500473969738,-349.3186121387045
150,-92.20887599325944,-349.4503341502431
151,-95.05202980519852,-349.39286046398007
152,-99.65092445130823,-349.2998948892943
153,-95.56971257527341,-349.38239562842085
154,-95.87109801817869,-349.37630319250815
155,-93.41807236396734,-349.4258905297296
156,-95.73364175020154,-349.3790818386677
157,-97.6716209997722,-349.3399060434974
158,-97.0059545228802,-349.35336233491853
159,-93.81565672084591,-349.4178534553741
160,-89.1198150593084,-349.5127787911976
161,-92.63986355505692,-349.4416218379488
162,-101.33004792700721,-349.2659518027705
163,-93.34328007360793,-349.4274024383056
164,-91.78031183225946,-349.4589974740595
165,-101.05526594670566,-349.2715064559376
166,-96.77716580152915,-349.3579872451631
167,-94.01068075229365,-349.41391109040256
168,-99.02405894001504,-349.3125668283127
169,-90.00893882789585,-349.4948053631297
170,-94.81777307907171,-349.3975959086563
171,-99.9249794293222,-349.2943549323074
172,-95.21733453625761,-349.3895188676827
173,-96.59243990864157,-349.3617214356833
174,-99.21391642115252,-349.30872890394176
175,-95.31316166891877,-349.3875817447122
176,-96.54921590310487,-349.3625951987991
177,-95.83212310018733,-349.37709106131757
178,-96.10351332323468,-349.37160497172613
179,-96.87931512413364,-349.35592232060816
180,-94.18894074661026,-349.41030760650244
181,-100.2763380765686,-349.28725229981086
182,-99.2480252331684,-349.3080394023213
183,-98.87750336264811,-349.3155294148734
184,-95.85381138839682,-349.37665263766735
185,-97.82722382736507,-349.3367605688991
186,-95.207891437879,-349.38970975769763
187,-100.01596777554586,-349.29251562426754
188,-93.56137060869344,-349.4229937893827
189,-92.52482890380115,-349.4439472363947
190,-95.72214479806424,-349.3793142468536
191,-96.17084669838223,-349.3702438433685
192,-97.82694195051036,-349.33676626697337
193,-95.97438936876965,-349.3742151821258
194,-95.08713225475714,-349.39215087621
195,-100.80201241672785,-349.27662591654007
196,-93.11700116948305,-349.4319766131845
197,-95.737946007808,-349.3789948291115
198,-96.4985862391341,-349.3636186655601
199,-100.95486851393684,-349.2735359664511
200,-92.8635639019753,-349.437099787998
201,-93.95416474475768,-349.41505354821567
202,-97.41441595740123,-349.34510538299435
203,-97.00543866902855,-349.35337276278307
204,-98.54489152768816,-349.3222530849647
205,-97.06836507335252,-349.3521007203052
206,-95.08989038682161,-349.3920951212184
207,-98.46539727887257,-349.323860042526
208,-102.28997629115192,-349.2465470764401
209,-93.85866628999942,-349.4169840270395
210,-94.37632725446302,-349.4065196322758
211,-96.57494683930447,-349.36207505396965
212,-95.22170584395607,-349.38943050272457
213,-96.75538710530043,-349.35842749639
214,-97.17419198551569,-349.3499614541416
215,-94.41702039770199,-349.40569702994685
216,-93.32331013130225,-349.42780612599705
217,-99.57081990611222,-349.30151418385356
218,-93.00474377344683,-349.4342458700686
219,-95.87481726064203,-349.37622800889557
220,-91.44446324351452,-349.4657865743679
221,-96.50000084974354,-349.36359006953904
222,-94.54676034697705,-349.4030743673568
223,-96.08765035615276,-349.37192563787846
224,-96.41126281170153,-349.3653838881275
225,-95.80485410285127,-349.3776422976914
226,-96.38090235197453,-349.3659976176874
227,-97.32633486256785,-349.3468859216305
228,-93.45613594105266,-349.42512108346256
229,-96.0927595996222,-349.37182235572214
230,-95.537826036222,-349.38304020731556
231,-93.47402223303335,-349.42475951627273
232,-100.29552221984179,-349.2868644968621
233,-101.89649064065976,-349.2545012964089
234,-95.34670582228769,-349.3869036575336
235,-95.56770848088215,-349.38243614071814
236,-94.88993620634943,-349.39613714799424
237,-96.9002049186749,-349.35550003832014
238,-95.13318693106778,-349.3912198917497
239,-92.18434916274127,-349.4508299543589
240,-95.6000207849939,-349.38178295508294
241,-96.10024851870384,-349.37167096898264
242,-93.52223414380738,-349.4237849238245
243,-98.23522955754548,-349.328512828931
244,-93.08540182912014,-349.4326153864251
245,-97.71167865809643,-349.3390962873467
246,-94.82640439032426,-349.3974214287274
247,-98.51975595849584,-349.32276119459004
248,-98.06905855449908,-349.33187193671307
249,-97.21222742318282,-349.3491925767061
250,-98.09973886133686,-349.3312517415191
251,-97.61460312405724,-349.34105864645767
252,-90.46290038023969,-349.48562863701466
253,-95.30586536715826,-349.38772923773774
254,-100.07568709091112,-349.29130841233956
255,-95.651505576744,-349.3807422021149
256,-97.11001253590265,-349.35125882663556
257,-95.53173457183924,-349.3831633448368
258,-93.57890196909896,-349.42263939705134
259,-97.21561389736671,-349.34912411992633
260,-97.30351509813588,-349.34734721780666
261,-93.06175349477519,-349.43309343194727
262,-100.26298547226354,-349.2875222195694
263,-96.77483974896674,-349.3580342657691
264,-98.36327765459554,-349.3259243667361
265,-95.44330440938904,-349.3849509397926
266,-94.18957274533567,-349.4102948307968
267,-93.38885279038627,-349.4264811965438
268,-91.12501708909798,-349.4722441033205
269,-97.6747398555908,-349.33984299655987
270,-98.03803908988822,-349.33249898790143
271,-98.59402539428082,-349.32125985539636
272,-97.84317567927972,-349.33643810596067
273,-95.80468720479088,-349.3776456714964
274,-97.65881753637466,-349.3401648625016
275,-93.16622740019069,-349.43098151649724
276,-92.94515316185962,-349.43545048028
277,-92.83072788741997,-349.43776356031685
278,-95.45014151761978,-349.3848127292563
279,-96.46211120752449,-349.3643559997537
280,-97.51527622613389,-349.34306651636064
281,-97.44368871069527,-349.3445136411648
282,-94.68873453898622,-349.4002043924245
283,-96.26362938200728,-349.36836826322
284,-96.56856928075935,-349.3622039748172
285,-97.202860545937,-349.34938192592875
286,-94.99859018428774,-349.3939407333603
287,-99.03088633692472,-349.3124288140884
288,-95.7069559378013,-349.3796212860951
289,-91.86541564456738,-349.45727712049006
290,-98.78618482263451,-349.3173753977033
291,-95.85854547290192,-349.3765569392614
292,-96.93516773186232,-349.3547932732665
293,-99.66848747518405,-349.2995398568933
294,-95.45510723034708,-349.38471234854023
295,-96.93090008320995,-349.35487954278113
296,-98.2861278722109,-349.32748393145954
297,-102.46126218270942,-349.24308457238857
298,-101.79490200442335,-349.25655488682054
299,-98.36448979341908,-349.3258998636347
300,-97.9288774289334,-349.3347056652285
301,-97.40737402314961,-349.3452477340407
302,-94.82723810450824,-349.39740457539114
303,-95.62481623987574,-349.3812817207885
304,-95.14743003027131,-349.39093197084594
305,-97.896278233596,-349.3353646503025
306,-94.52195773491471,-349.40357574633174
307,-96.54507233976818,-349.3626789599584
308,-94.70440859774234,-349.39988754500945
309,-99.07589475792484,-349.31151897943334
310,-96.32231598953392,-349.3671819272382
311,-93.81603543859258,-349.41784579968413
312,-95.50090397930232,-349.3837865780208
313,-92.6097388597795,-349.44223080158554
314,-92.44783712055444,-349.44550360720257
315,-90.87879425190359,-349.47722144012016
316,-96.7318429145622,-349.35890343667364
317,-90.7598192631467,-349.4796264915626
318,-94.26314330832899,-349.4088076191525
319,-92.79204273642559,-349.43854557155447
320,-97.5457045826467,-349.3424514142834
321,-95.74835063112492,-349.3787845020959
322,-94.1797107360964,-349.4104941889964
323,-93.91748539446728,-349.4157950126633
324,-99.37478643538022,-349.3054769544031
325,-97.98086691492763,-349.3336547099849
326,-95.98742736221206,-349.37395162215176
327,-97.54684501779822,-349.3424283606549
328,-94.99281902405151,-349.3940573960084
329,-96.57808917275712,-349.36201153243735
330,-92.88981450704323,-349.43656913818455
331,-93.52139155363886,-349.4238019565869
332,-91.40911533236874,-349.4665011240861
333,-98.21447064537253,-349.328932465463
334,-93.45334737218407,-349.4251774537269
335,-96.70770857219729,-349.35939130673387
336,-92.21480105842811,-349.4502143764429
337,-94.69914171992244,-349.3999940137069
338,-100.7725491644458,-349.2772215092622
339,-99.01657267571154,-349.31271816138656
340,-95.87312607078641,-349.37626219590106
341,-97.97591936025474,-349.33375472364
342,-99.24162238144997,-349.3081688344642
343,-98.37325404425833,-349.3257226963632
344,-93.71884842962187,-349.4198104122346
345,-97.14659761089399,-349.3505192679407
346,-95.50402718453343,-349.383723443161
347,-92.11797614036969,-349.4521716694108
348,-95.6343947004126,-349.3810880944594
349,-94.24672788123615,-349.4091394531542
350,-94.47869400106978,-349.4044503125459
351,-94.9041284237566,-349.39585025565395
352,-100.3761375189166,-349.28523487753307
353,-97.68289431901597,-349.33967815599766
354,-97.68471640924993,-349.3396413228718
355,-97.46225620361386,-349.344138303658
356,-91.83299494622905,-349.4579324972894
357,-92.01472760713665,-349.45425881425024
358,-96.74291464059677,-349.35867962433343
359,-94.61038064267353,-349.40178829802784
360,-95.40057973006307,-349.38581460914645
361,-96.290344328517,-349.36782822685336
362,-96.45296442363801,-349.3645408998406
363,-98.40792001892724,-349.32502193183075
364,-98.12988072677071,-349.33064243079167
365,-93.78619355842646,-349.4184490462798
366,-95.45225839515591,-349.38476993707434
367,-94.86138398577141,-349.3967143244244
368,-99.45584600062635,-349.3038383543379
369,-95.82029528125886,-349.3773301578979
370,-95.82169957896498,-349.3773017703498
371,-94.47981807666918,-349.4044275896218
372,-93.13551913852122,-349.4316022767915
373,-96.26947220594063,-349.3682501519069
374,-95.34892144600929,-349.3868588692206
375,-92.58056074744275,-349.4428206302705
376,-97.38748242157443,-349.3456498380927
377,-98.46336172838167,-349.32390119070084
378,-99.28827780062191,-349.30722570612807
379,-95.9413081314504,-349.37488391156523
380,-95.9672548852362,-349.37435940403407
381,-95.93522539632977,-349.37500687262656
382,-93.4030531493944,-349.42619413962314
383,-93.55372385332076,-349.42314836674586
384,-97.31430741933633,-349.34712905356923
385,-97.98964263871213,-349.3334773107905
386,-94.35915503842556,-349.4068667645882
387,-93.57219988686158,-349.42277487806905
388,-99.84199630685247,-349.29603241662977
389,-100.04979068909691,-349.29183190201746
390,-98.52179019220003,-349.3227200730336
391,-95.70764914291162,-349.3796072731166
392,-89.43210004893875,-349.50646602350855
393,-100.28600319172573,-349.2870569217788
394,-96.61850082303995,-349.3611946204221
395,-96.8943627137789,-349.3556181371193
396,-92.62300708462605,-349.4419625875379
397,-93.82508118367306,-349.41766294207264
398,-94.55377400845528,-349.4029325878379
399,-99.11212470870367,-349.31078659949117
400,-98.8098832297056,-349.31689633997263
401,-97.77384289555174,-349.3378396518929
402,-95.92884510702999,-349.3751358486756
403,-94.21114099518245,-349.40985883369405
404,-94.13955652066997,-349.4113058970263
405,-97.2430607026587,-349.3485692892064
406,-96.59761671950206,-349.36161678766814
407,-92.00275570319599,-349.45450082347537
408,-97.82214347495221,-349.33686326702934
409,-103.4698045717576,-349.2226971249675
410,-98.023370619812,-349.33279550757754
411,-98.82491229642068,-349.3165925309203
412,-94.67637787932625,-349.40045417939615
413,-102.63618601102509,-349.23954852830036
414,-97.1515833441107,-349.3504184825153
415,-94.26762070859283,-349.40871710955827
416,-89.97910748011535,-349.4954083968157
417,-98.54439996884287,-349.3222630217112
418,-99.18369114137097,-349.3093399008705
419,-94.31465811963169,-349.4077662593463
420,-95.49480091962407,-349.3839099499383
421,-94.4137364703924,-349.4057634137658
422,-97.45939400629491,-349.34419616230434
423,-91.94503700403045,-349.45566759341693
424,-95.23309008612081,-349.38920037294423
425,-93.50484302704143,-349.4241364811638
426,-96.86781587729106,-349.3561547751812
427,-96.1364521596943,-349.37093912088665
428,-93.30800739960486,-349.4281154671226
429,-99.61574252754677,-349.30060608361646
430,-99.23650722357783,-349.30827223617865
431,-95.63870515355062,-349.381000959662
432,-98.68340802195708,-349.31945300657986
433,-94.54548762283416,-349.40310009517617
434,-94.05174658987951,-349.41308095414485
435,-101.84612397194924,-349.2555194467825
436,-92.90119501176412,-349.43633908395566
437,-97.07006973908082,-349.3520662608881
438,-94.69610874353306,-349.4000553246122
439,-102.71345326499548,-349.2379865889166
440,-100.31450365559995,-349.28648079159814
441,-102.51647300077515,-349.2419684986741
442,-94.57831686080038,-349.4024364598444
443,-98.78730526546795,-349.31735274821466
444,-101.44557997599233,-349.2636163495464
445,-99.42989735586478,-349.30436290009465
446,-94.49703831616105,-349.40407948652665
447,-97.02069140823292,-349.3530644322439
448,-98.97595905388276,-349.31353915620895
449,-95.82409491960308,-349.37725334910164
450,-99.32831022881413,-349.30641645999856
451,-91.56111658433186,-349.4634284544929
452,-96.65507740684791,-349.36045523337486
453,-97.59302868183194,-349.3414947687381
454,-95.67289004952418,-349.3803099200224
455,-89.94520808874232,-349.49609366504717
456,-94.91031135118114,-349.3957252692289
457,-101.43650177342042,-349.26379986327817
458,-95.33394679638471,-349.3871615782443
459,-91.12407011455602,-349.4722632461881
460,-93.71513628144868,-349.4198854524377
461,-95.75736623178558,-349.37860225384685
462,-99.24665409751333,-349.3080671195063
463,-97.97849963058984,-349.33370256408153
464,-95.5402244115934,-349.382991724721
465,-101.86546782107801,-349.25512841541735
466,-95.34660361348865,-349.38690572366045
467,-93.95533517861844,-349.41502988817007
468,-91.50132591632067,-349.4646371087978
469,-95.38797918949554,-349.3860693261132
470,-91.15347675962833,-349.4716687977676
471,-93.17657151637637,-349.43077241261904
472,-94.57329646661442,-349.4025379459334
473,-96.94688628902337,-349.35455638538696
474,-97.216076510598,-349.34911476830837
475,-97.54128612158829,-349.3425407324355
476,-96.32833917993624,-349.3670601698595
477,-97.82026522634528,-349.3369012353836
478,-98.2612468353517,-349.32798689577345
479,-94.53547510562898,-349.403302495859
480,-89.53437363682028,-349.5043985869606
481,-91.55878618892305,-349.46347556288845
482,-94.82890555521679,-349.3973708682668
483,-92.18786203427801,-349.4507589424863
484,-92.42162434534899,-349.4460334922942
485,-92.36058732513202,-349.4472673413163
486,-96.35713501258546,-349.36647806886833
487,-100.84098715123417,-349.27583805143985
488,-97.18242378665146,-349.3497950502157
489,-95.96305196990716,-349.3744443649799
490,-97.00239101191491,-349.3534343704553
491,-90.4368893576192,-349.48615444372535
492,-95.42932670944869,-349.38523349571267
493,-94.09399503498958,-349.412226911754
494,-99.59633753186228,-349.30099835104477
495,-94.7130225142957,-349.3997134167103
496,-95.2410410012971,-349.38903964706225
497,-92.7436933312964,-349.43952294341875
498,-99.144130440072,-349.3101396111518
499,-98.4284909430863,-349.3246060954322
500,-99.70763468507477,-349.2987485052437
501,-93.89207992750843,-349.41630857820843
502,-94.79802099539455,-349.39799519238665
503,-93.12148460826829,-349.4318859815229
504,-97.36905815270909,-349.3460222803586
505,-98.89925052686392,-349.3150898010587
506,-92.76228684008305,-349.43914708000733
507,-95.40604849181075,-349.38570405941266
508,-98.16958782398505,-349.32983976115133
509,-97.8064931232902,-349.33717963521093
510,-100.21465555049342,-349.28849919758204
511,-96.09239109580933,-349.3718298049401
512,-95.80381137725766,-349.37766337614414
513,-93.4863351919349,-349.4245106127017
514,-97.88446531579147,-349.33560344566035
515,-93.25398792500744,-349.4292074581088
516,-96.20950787648358,-349.36946231673727
517,-96.81968926623568,-349.35712764331566
518,-97.20738837811145,-349.34929039686523
519,-99.7469469270191,-349.29795381750984
520,-98.17652079903962,-349.32969961268964
521,-98.51299873872559,-349.3228977901998
522,-100.71091918765877,-349.2784673447619
523,-97.57176091412887,-349.3419246916647
524,-91.23489966649672,-349.4700228528369
525,-93.18439901436894,-349.43061418158635
526,-96.19271170402477,-349.36980184741714
527,-97.62954720019901,-349.34075655546985
528,-92.19479139162287,-349.4506188671557
529,-97.80740979901934,-349.3371611048264
530,-97.08757816496436,-349.3517123321727
531,-97.78515634586547,-349.3376109531531
532,-95.37720804212472,-349.38628706232646
533,-94.88609510329522,-349.3962147949899
534,-97.91687596886153,-349.334948271924
535,-95.49632925006462,-349.38387905509745
536,-99.94400568891395,-349.2939703209403
537,-94.91368951111222,-349.3956569805197
538,-97.07843621100008,-349.3518971346239
539,-97.4034160831027,-349.34532774286856
540,-91.82875465655414,-349.4580182137488
541,-96.21596413720897,-349.36933180494395
542,-96.34401566543426,-349.3667432733886
543,-97.81828419615876,-349.3369412814434
544,-95.53805025436436,-349.3830356747985
545,-98.52136107381529,-349.3227287475609
546,-103.50968916667999,-349.22189086725274
547,-98.18171461444247,-349.3295946209316
548,-99.19853136828934,-349.3090399091702
549,-96.02107310658376,-349.37327148133517
550,-97.38218761827214,-349.3457568712974
551,-94.98010851166138,-349.39431433602977
552,-89.69103491759294,-349.5012317159798
553,-98.71241157899586,-349.31886670648925
554,-93.53347030870378,-349.42355778739136
555,-98.59941884358872,-349.3211508280858
556,-96.95664455920311,-349.35435912424816
557,-92.27514903159113,-349.4489944563451
558,-99.83708345502647,-349.29613172877504
559,-94.65605226809329,-349.4008650568513
560,-101.74787858757895,-349.25750545414303
561,-96.34027202851976,-349.3668189501291
562,-93.595101497931,-349.4223119273825
563,-99.2763598240208,-349.3074666252248
564,-97.88886535574404,-349.3355144998865
565,-96.57957935510545,-349.36198140875126
566,-94.05223733428456,-349.413071033862
567,-98.04819849672965,-349.33229361787943
568,-94.90727092609265,-349.39578673070775
569,-98.99254411505355,-349.3132038930944
570,-95.55883498186208,-349.38261551641585
571,-99.914351009109,-349.29456978332473
572,-95.04008309010686,-349.39310196401846
573,-96.42784292675131,-349.36504872499745
574,-99.99819653034831,-349.29287486581364
575,-97.0379143815218,-349.3527162738856
576,-91.75923641160729,-349.459423508736
577,-97.31371242919812,-349.3471410811551
578,-94.30287051856415,-349.40800454293213
579,-93.8402538525773,-349.4173562301356
580,-93.49903743262489,-349.4242538398907
581,-96.15643765620261,-349.3705351187706
582,-96.4707222300108,-349.3641819299574
583,-96.63715559764209,-349.3608175185371
584,-95.97080259426873,-349.37428768792967
585,-95.16878681530214,-349.39050024845477
586,-101.47533139930195,-349.2630149315146
587,-94.90596242292962,-349.3958131817916
588,-91.75776029965793,-349.45945334799234
589,-95.50281515748644,-349.3837479440029
590,-95.30425806679148,-349.387761728937
591,-96.22291439147286,-349.369191307187
592,-100.36830401764507,-349.2853932299207
593,-99.53509254328479,-349.3022364040982
594,-96.36300822974962,-349.3663593431635
595,-99.10275770819028,-349.3109759512056
596,-97.93255540399346,-349.33463131582687
597,-94.06738908470122,-349.41276474478747
598,-98.9299013893686,-349.3144702010752
599,-103.4525848438421,-349.2230452177212
600,-95.39742848688272,-349.38587831078684
601,-86.95335231130599,-349.55657332660275
602,-96.25549732489135,-349.36853265084375
603,-93.83112399357175,-349.4175407880903
604,-92.02867262772467,-349.45397691893544
605,-87.99753800770505,-349.5354653580985
606,-96.30253974697521,-349.36758169933466
607,-95.39093239331997,-349.38600962779196
608,-96.68609997027109,-349.35982811954466
609,-93.33889752229679,-349.4274910305507
610,-97.78531215257374,-349.33760780355715
611,-96.24661705313626,-349.3687121634507
612,-100.01178128075382,-349.29260025327613
613,-94.83814613798442,-349.3971840720573
614,-98.41781736656313,-349.3248218592737
615,-98.77184971679232,-349.31766517849945
616,-93.09297732520399,-349.43246224955186
617,-96.10361629139229,-349.37160289024894
618,-97.17182208366988,-349.3500093611505
619,-96.3714318126996,-349.36618906241335
620,-97.88920912666211,-349.33550755063817
621,-93.87769754883408,-349.4165993146139
622,-99.50879872454934,-349.302767927466
623,-93.47242734637922,-349.4247917565317
624,-88.50036478560072,-349.5253008329307
625,-95.65643351140503,-349.3806425850736
626,-90.7597837479403,-349.47962720949425
627,-92.82023350178989,-349.43797570185654
628,-95.67481697342816,-349.38027096770827
629,-93.4350653666187,-349.42554702017384
630,-96.46623380041005,-349.364272662507
631,-95.0443568757351,-349.3930155704462
632,-93.06854945216787,-349.43295605326546
633,-95.14443721734055,-349.3909924698562
634,-93.27919941023409,-349.4286978138588
635,-95.16054134483083,-349.39066692870307
636,-95.34182258589385,-349.3870023710099
637,-97.69749626784521,-349.33938298103294
638,-96.87734899698683,-349.35596206540663
639,-90.26251459231617,-349.4896793886339
640,-93.1167385546904,-349.4319819218807
641,-92.90523770859686,-349.43625736178905
642,-96.90294144001848,-349.355444720184
643,-98.92931176444948,-349.3144821202045
644,-93.43740435420386,-349.4254997380893
645,-96.45591929765182,-349.3644811677567
646,-95.97843164037175,-349.37413346855516
647,-96.34789171552508,-349.3666649199468
648,-95.3359451903477,-349.3871211811799
649,-98.48647523817112,-349.3234339565314
650,-98.92002282406744,-349.31466989395165
651,-94.46477539219553,-349.4047316739539
652,-99.42181118040092,-349.30452636023165
653,-95.71979413470451,-349.3793617649612
654,-95.43885842055697,-349.3850408144122
655,-93.76603170926363,-349.4188566133232
656,-94.08260388019731,-349.4124571812716
657,-93.54554737420892,-349.42331365235
658,-96.12330198844195,-349.37120494850853
659,-95.53540579056686,-349.38308913201297
660,-99.94753592275026,-349.2938989580928
661,-101.66833009230915,-349.2591135082837
662,-88.19729818282669,-349.53142725309533
663,-96.36988921308492,-349.36622024570215
664,-97.78097066077451,-349.3376955657937
665,-101.46008959099991,-349.26332304108814
666,-95.55990090424275,-349.3825939690455
667,-93.44177658445088,-349.4254113544821
668,-98.42181251242053,-349.3247410983389
669,-95.73839263312543,-349.3789858006855
670,-93.49552750154801,-349.42432479232264
671,-100.28726666416466,-349.28703138098035
672,-98.10644569345502,-349.3311161644837
673,-93.93250192366527,-349.415491457054
674,-95.44869761733572,-349.3848419173612
675,-101.6436776631719,-349.2596118513461
676,-94.85561751015491,-349.3968308923741
677,-94.77533675142432,-349.3984537490486
678,-95.90436299918453,-349.3756307487333
679,-97.13676254648882,-349.3507180814567
680,-99.17036615519588,-349.30960926233513
681,-98.5058950430562,-349.3230413897387
682,-94.63464603080777,-349.40129777890826
683,-97.77781555594818,-349.33775934549647
684,-98.33679566329985,-349.3264596939678
685,-99.83339153222717,-349.2962063601271
686,-95.11033605632572,-349.3916818168135
687,-101.23428378896757,-349.26788765231953
688,-92.81377200795886,-349.4381063194361
689,-95.36259025425613,-349.3865825574737
690,-93.52689624466755,-349.42369068055103
691,-92.84780851854923,-349.4374182793718
692,-98.44212403037815,-349.32433050577595
693,-96.73265310677814,-349.35888705882854
694,-92.46493173940587,-349.4451580434991
695,-93.86983003651905,-349.41675835452685
696,-96.38540315264594,-349.36590663505916
697,-99.33490805462503,-349.3062830865
698,-96.03078194171029,-349.37307521951436
699,-96.95386197286615,-349.3544153735771
