,egr,pyr,mats
0,-631.1581076929834,-141.95522459837406,-743.0128035622422
1,-737.252506445916,-181.68496958918413,-837.34216471164
2,-672.8687439798188,-157.57483282047784,-780.0980570753392
3,-2077.6481215874987,-683.6301863238596,-2029.0984077363446
4,1439.8054496313584,633.569732278619,1098.2971206404357
5,-1986.8751533619725,-649.6379405309647,-1948.3914505077285
6,-74.30619813749642,66.57213051493268,-247.911408006809
7,35.56557025118003,107.71640760289623,-150.22355791969875
8,-1536.9637063551372,-481.1571605073737,-1548.3716580511327
9,-1975.2976839955388,-645.3024627774357,-1938.0978317879908
10,-265.3553661767105,-4.971087752230945,-417.7747201240749
11,-488.98652747945425,-88.71546177189394,-616.6069377222046
12,-1613.3159042535665,-509.74918221303096,-1616.2569953994634
13,315.6230410118706,212.59104779954612,98.7777335009009
14,-1360.259026728229,-414.9856006250393,-1391.2621429660621
15,-196.50199397026336,20.81280802053188,-356.55664744956096
16,-1913.9039843372514,-622.3120310474222,-1883.5122124203763
17,-2049.4108841902666,-673.0560348679535,-2003.9924587360854
18,-2411.143239978706,-808.5159122915265,-2325.6115303333663
19,-1.7269448015142796,93.75127720463784,-183.38062522885062
20,-1288.8168100019477,-388.2322462022173,-1327.7423083461345
21,-2379.666148734053,-796.7285151913741,-2297.6250018940627
22,-921.5828777741536,-250.71216360709587,-1001.2317420333962
23,-22.195911329174926,86.08615227883281,-201.57974373687912
24,-606.4595722789122,-132.70623006914676,-721.0531422198883
25,-870.6534557546458,-231.6403466860498,-955.9499938989281
26,-2014.0745461619085,-659.8234446909258,-1972.5746437453422
27,-2639.4887729372685,-894.0257026373948,-2528.6353327063857
28,-340.7745860797767,-33.21373212719504,-484.83053942712314
29,-1981.9202453349403,-647.7824492450844,-1943.9860029606607
30,-2633.435664320827,-891.7589622198125,-2523.253466411199
31,-865.6069610196691,-229.7505584288482,-951.4631158922689
32,-538.8521102371044,-107.3888970339501,-660.9428180340913
33,-1109.0176515336213,-320.90188004269595,-1167.8814678788322
34,-313.0418185317811,-22.828492232135073,-460.1731185221878
35,-799.8295704834177,-205.1185421972281,-892.9799226201303
36,-1257.161178525384,-376.3779901729622,-1299.5970383878323
37,-1812.3684331836537,-584.289462445777,-1793.2361583887637
38,-62.38510419745253,71.03628722647048,-237.3122699864773
39,-2722.0665821014713,-924.9490627634493,-2602.0559098069393
40,-1815.8833486615072,-585.6057119107884,-1796.3612972784501
