,HP1a,HP1B,HP1C
0,-1217.7527027971955,6.882392968778966,-489.1508058857018
1,-455.0698089386061,59.681345110470104,-488.77647872363707
2,-438.20004140274386,-269.6110579905759,-487.79195082454993
3,-1083.9955406266508,-129.86020652670868,-488.24748775867357
4,-1109.8815655913195,132.47163785126773,-487.93188729264466
5,-1629.8359520687084,4.273647003388703,-489.6527769743721
6,-832.2208592695715,-28.92317306218115,-488.8230465744707
7,-1088.5226482462572,-580.0550740649603,-488.5535852649119
8,-1317.6653130796494,-158.52853350670256,-489.095352374876
9,-1025.730768602592,10.523827726835982,-487.30730138292216
10,-1455.2812351778784,-68.14260012692215,-489.4530136712474
11,-640.7264312818304,171.7283700771561,-488.50287114319286
12,-1956.1243536338739,58.638858958456446,-487.77493226866227
13,-877.5109779380714,-238.35852090677272,-489.6162519121252
14,-43.39570261677731,-5.344197673118824,-488.36528869811724
15,-1658.483041976508,40.00556735729421,-488.17946456293475
16,-1230.443881249373,-208.903408836532,-489.9832932763347
17,-1480.4822583128082,-140.48752913565383,-489.07523196628864
18,-989.9110612888408,123.15204843151918,-487.5615991697785
19,-244.090718876417,-169.6168720122852,-489.2571423547447
20,-1741.2910829045825,-43.169470687830206,-489.13915077825453
21,-1734.1433384604893,21.526307974171843,-487.67924672303354
22,-306.66892292270643,151.28097156649477,-487.37063550414507
23,-1141.1531421639393,125.31570422466793,-488.18258990322886
24,-1430.3707287326706,-168.00397126472168,-489.0496697465147
25,-223.59221297846952,-248.99285812106834,-487.34303482261976
26,-391.6751749307045,-365.5638648756698,-487.9989657000523
27,-1372.26082867399,92.28543292480705,-487.7974074988777
28,-1027.3757079034117,-243.8305904797077,-488.74611605485467
29,-1196.428581371637,-20.205182585641623,-488.20930544381247
30,-453.5571863780973,334.4072912220969,-489.35763843917243
31,-669.9591131114117,-9.841750545491294,-487.45006874936195
32,-1292.097611823953,-453.946873369357,-487.61332246127864
33,-1773.6932414169016,-123.08910757251012,-487.995785689288
34,-1607.6658662598395,-122.25914963838623,-488.4934016894731
35,-1769.5907330191653,-283.967641173443,-489.2933106056921
36,-1125.158601469482,41.476670859475504,-488.5030195242395
37,-1389.761666413138,102.97624124315885,-489.3106220240076
38,-1476.0316362255892,-375.3696385898661,-487.821362441912
39,-349.0698706284021,309.92215852763894,-488.8019246595962
40,-495.05922712989917,-324.7575248035111,-487.5031553016873
41,-166.99883735799918,-448.0785280700455,-488.08854784033605
42,-400.79971927361436,-488.84296678677134,-486.6346715681671
43,-869.6581805170455,-168.54238741559374,-487.0000227510384
44,-1408.9216764089078,324.4166981552553,-488.1035703500556
45,-882.3849670192211,-275.7662066341345,-489.4940839395604
46,-1024.0755198568124,-223.28986407602312,-489.5310055793686
