,HP1a,HP1B,HP1C
0,-605.4562771925087,105.36922543211948,-154.7111162078571
1,-223.6718243864426,131.81104857949032,-154.46479406701962
2,-215.2271417804644,-33.09925992823076,-153.81693560417185
3,-538.5000029933885,36.888252119082196,-154.11669700065977
4,-551.4580514248418,168.2645759588295,-153.90901935842626
5,-811.7372612037224,104.06276012068393,-155.04143312239194
6,-412.4664184901071,87.43772478147314,-154.4954375625337
7,-540.7661863826626,-188.57025768912646,-154.31812131789545
8,-655.4706167722618,22.531095372832073,-154.67462559513146
9,-509.33377377257136,107.19286340161608,-153.49801702140343
10,-724.3585123036057,67.7965555475813,-154.90998093437813
11,-316.6079745766326,187.9244276936708,-154.28474941144978
12,-975.0709872537275,131.28896938384372,-153.8057367184242
13,-435.1377846799209,-17.44792548017357,-155.01739818066542
14,-17.595649501567188,99.24612384895168,-154.19421469784314
15,-826.0774458768085,121.95737886573768,-154.07193503599623
16,-611.8092381148583,-2.696745152632481,-155.25892597712377
17,-736.9736619355149,31.566067235532024,-154.6613855671025
18,-491.4031141674164,163.59730652928081,-153.66535506581133
19,-118.05973173099981,16.978032785983803,-154.78108982815021
20,-867.5295655562215,80.30314981280134,-154.7034466842183
21,-863.9515415525892,112.70292799724993,-153.74277182879
22,-149.38518242850645,177.68432872746783,-153.53969338878645
23,-567.1120038686395,164.68086977274595,-154.07399163404747
24,-711.8887897637578,17.785776776942214,-154.64456461116518
25,-107.79857218407992,-22.77362329242005,-153.5215310440493
26,-191.93768448316177,-81.15262173247223,-153.9531596148413
27,-682.8000864833195,148.13924239580874,-153.82052631261755
28,-510.15719888924787,-20.188349106562324,-154.44481422496176
29,-594.7818303213606,91.80371223066543,-154.09157152088733
30,-222.91463449636356,269.3943638995271,-154.84722024338785
31,-331.24129535284175,96.99374017800179,-153.59196361921147
32,-642.6719150942545,-125.41501303052465,-153.69939104605703
33,-883.7494656706382,40.27923231467011,-153.9510670414491
34,-800.6393407608252,40.694876944414936,-154.2785181347773
35,-881.6958285216033,-40.2890661293684,-154.80488997386925
36,-559.105443060616,122.69411050639147,-154.28484705207205
37,-691.5606707493239,153.49322105238687,-154.81628157472707
38,-734.7457657392065,-86.06337325038334,-153.83628961661955
39,-170.61028495621463,257.1321594014276,-154.481538503588
40,-243.68976141523146,-60.716723221003306,-153.6268966792287
41,-79.46901199898407,-122.47613371042593,-154.01210822133245
42,-196.50525666435772,-142.89104793745278,-153.05539988657475
43,-431.20682465639806,17.51613686812656,-153.29581547657895
44,-701.1518048771476,264.39105447206236,-154.02199362941894
45,-437.57761028675367,-36.18177094932087,-154.93700680223063
46,-508.5051879451538,-9.901511340782264,-154.96130270774444
47,-624.1249112125793,-4.456789030919817,-154.23265152959243
48,-767.0005900997568,-119.71003302846246,-154.54077018353823
49,-250.1848840003153,191.04237310829404,-154.2413148329971
50,-382.35447761096907,-90.91554251481554,-154.1326775751782
51,-478.8873263684938,137.59437945329756,-154.05165396015525
52,-592.7321191075376,-44.61308653159986,-154.16410494691905
53,-283.8856637089186,12.172300757540382,-153.44386065790474
54,-930.2659560336185,-12.581690200491588,-154.30844544515887
55,-781.5686032141734,5.774158683133068,-154.5818843321148
56,-740.1993136376577,-103.53630868516203,-154.59651811233036
57,-777.903254536767,131.2139216683811,-152.81012588401705
58,-640.3660030680345,-123.43351159524757,-154.05745816555088
59,-297.8566930507805,36.19344066894988,-154.72144276283572
60,-444.11041650486874,51.59988799691274,-153.85794491587677
61,-406.08416082950373,-53.22460183153113,-154.1720009054528
62,-874.9950017323071,71.00363855287794,-153.74685566914147
63,-459.14738421630125,171.27411190433304,-153.94871892148018
64,-411.9015365312638,-98.47383663297094,-154.47911780422936
65,-508.19617134491045,-33.59982153453804,-154.26276938067994
66,-474.52443165623976,112.2916406053167,-154.31691807804538
67,-307.3272487384917,103.80242751003135,-154.16151499642825
68,-333.74537705878225,141.33036064040348,-153.79810642734122
69,-882.0771941345184,119.71226451499786,-154.0086854907815
70,-1000.4711071520863,-20.86723599364681,-153.59223801066267
71,-395.487753197791,24.209438036440186,-154.29836960595895
72,-673.1041817139777,227.44491215862075,-154.41667090181195
73,-393.67314581757034,172.6698894851439,-155.48177892967138
74,-567.4838489921458,-160.25608141589203,-153.84731096125577
75,-230.82680809637054,178.2851889285104,-153.7052406525373
76,-708.2774209562677,143.44609617618755,-154.65758034125037
77,-459.29797766843086,124.48771630302852,-154.24756406642618
78,-781.0890505812077,238.80384013333477,-152.87820171521471
79,-282.96914888012105,170.42954596787828,-153.38978352531083
80,-543.3392639530547,115.89049351720237,-153.84858920408453
81,-440.3275476337703,0.7194298191352773,-153.59414287255188
82,-518.5666732173726,43.53219965559554,-153.97102147754333
83,-741.2720953240839,-107.88347925842976,-154.89550088258454
84,-901.5960518825882,59.04943327026644,-153.86913734790775
85,-547.6915929501033,22.426284300096466,-155.2200072051334
86,-475.9071288189594,172.81295361559933,-153.48375914125674
87,-518.6171400451699,33.80605386072635,-154.4039652616068
88,-412.2843668857203,-84.80507779187312,-154.608964086616
