,rab3,shaw,cg76
0,-150.20217349974803,214.30522881249016,534.4563850691192
1,-245.96462410317275,-275.30216488757304,43.31336722573403
2,-181.81147192532097,52.695473409271216,372.3397503879587
3,-34.94567454557651,803.5803956901406,1125.579778066229
4,80.75824211311635,1395.1430877389416,1718.9978709196084
5,-105.43331352155114,443.19624731430935,764.0653064840142
6,-155.35914201663866,187.93904980351417,508.00751012545277
7,-56.78034353234283,691.9456650880032,1013.594911845734
8,25.912986864227346,1114.7341977197543,1437.7094952818293
9,-73.30064655143039,607.4818438998059,928.8661749623844
10,-1.4753341881819562,974.7051528927515,1297.2412577776536
11,-106.1615035171305,439.4732096977138,760.3305917838529
12,2.6408483560793856,995.7500759788929,1318.352186999326
13,-168.8463497303266,118.98262089656654,438.83480352656386
14,-67.5286104821272,636.9926962059765,958.4695862819084
15,-130.03779990042727,317.4001928756252,637.8747002864795
16,-44.866980484499294,752.8554537922664,1074.6957404389007
17,-41.85188768571691,768.2708041480035,1090.1594401138852
18,-94.91714516063682,496.96255916675665,818.0002531398578
19,-126.80746282932203,333.91602871932446,654.4423370559716
20,-61.03860217649343,670.1743455016071,991.7553078248725
21,-32.33772553692876,816.9141304575917,1138.955333290832
22,-146.70072515372175,232.2071829507861,552.4144876098721
23,-73.46137937153706,606.6600606576422,928.041814246507
24,-87.06885967098516,537.0887106947222,858.2522579287377
25,-82.12297729386746,562.3756636178028,883.6185218587995
26,-184.50601602688255,38.919001457453156,358.52006936043773
27,-199.05530008893038,-35.467535279382766,283.90022372504154
28,-122.7696318568025,354.56036150529036,675.1514195500849
29,-105.1049270196758,444.8751982840942,765.7495233825367
30,-159.2684586040532,167.9517761544833,487.957547594739
31,77.06406722921746,1376.255775171428,1700.051319432188
32,-125.07727234352787,342.76202262420514,663.3160758887001
33,-151.33033105886335,208.5372657046022,528.6703310918525
34,-100.7759029294893,467.0083223708873,787.9520666818502
35,-112.05825367681068,409.32472812911135,730.0875513160655
36,-79.9958685658113,573.2509926627245,894.5279607191833
37,51.67002770281158,1246.4229499910384,1569.8112814043043
38,-154.6468961947271,191.58056919177673,511.66045092026053
39,-94.66087108783026,498.27281887783624,819.314622401717
40,-88.4724916665897,529.9123216325022,851.0533605538418
41,-178.53635406490434,69.44026126291223,389.13705726160157
42,-14.444005213738764,908.39986119892,1230.7280035242998
43,-164.28613900991812,142.29773941612592,462.22304851309184
44,-42.08209471602102,767.093818143485,1088.9787625635522
45,-48.81757197269722,732.6571527888756,1054.4340886792222
46,-207.04214645666298,-76.30211093349118,242.93757288035462
47,-138.4298309459278,274.4940180425161,594.8339528165616
48,-6.996155153460054,946.4786951646745,1268.9262694625688
49,-147.618818569869,227.51322073678034,547.7058030656964
