Features,Coefficient
state.name_1,0.6582401185655609
state.name_2,0.11280541192049973
state.name_3,0.052047455607360904
state.name_4,-0.12369765374894494
state.name_9,-0.569614853022338
CTC,-0.030007253993332175
GGA,-0.05222825098174743
GGC,-0.027873974506474646
GTC,-0.02893411589766525
TCC,-0.02188900661752208
Mean_Accesibility,0.02805650691652022
DRE_Sites,0.026691343977500875
DRE_Avg_Score,0.028256882009381035
Disco_Sites,0.024415444505442807
Disco_Avg_Score,0.032638421266103064
