Variable_Name,HP1_coef,Random_coef
HP1a,0.10224810135274491,0.042589947136117925
HP1B,0.5964705989440048,0.014547970704349399
HP1C,0.08578511964407286,0.01527141004044085
A_B,-0.11186101030962907,0.0008432162391346195
A_C,-0.058358253394069526,0.006511582253895685
B_C,-0.16639328650742163,0.013959919327353227
A_B_C,0.03903084193486815,0.021307832821951426
